shapeID,shapeLabel,resourceURI,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note,lcDefaultLiteral,lcDefaultURI,lcDataTypeURI,lcRemark
,,,bf:descriptionAuthentication,Description authentication,FALSE,TRUE,literal,,,,,,pcc,http://id.loc.gov/vocabulary/marcauthen/pcc,bf:DescriptionAuthentication,
lc:RT:Agent:Conference,Create conference name,bf:Meeting,owl:sameAs,Search LCNAF,FALSE,TRUE,,,,http://id.loc.gov/authorities/names,IRIstem,,,,,
,,,rdfs:label,Preferred Name for Conference (RDA 11.2.2) CORE ELEMENT,FALSE,TRUE,literal,,,,,,,,,
,,,mads:associatedLocale,Place Associated with Conference (RDA 11.3) CORE ELEMENT,FALSE,TRUE,bnode,,lc:RT:Agents:RWO:LocationOfConference | lc:RT:Agents:RWO:OtherPlace,,,,,,,
,,,mads:establishDate,Date Associated with Conference (RDA 11.4) CORE ELEMENT,FALSE,TRUE,bnode,,lc:RT:Agents:RWO:Dates,,,,,,,
,,,mads:organization,Associated Institution (RDA 11.5) CORE IF ...,FALSE,TRUE,bnode,,lc:RT:Agents:RWO:Affiliation,,,,,,,
,,,rdf:value,"Number of a Conference, Etc. (RDA 11.6) CORE ELEMENT",FALSE,TRUE,literal,,,,,,,,,
,,,mads:entityDescriptor,Other Designation Associated with Conference (RDA 11.7) CORE IF ...,FALSE,TRUE,literal,,,,,,,,,
,,,mads:associatedLanguage,Language of Conference (RDA 11.8),FALSE,TRUE,bnode,,lc:RT:Agents:RWO:AssociatedLanguage,,,,,,,
,,,mads:fieldOfActivity,Field of Activity of Conference (RDA 11.10),FALSE,TRUE,bnode,,lc:RT:Agents:RWO:FieldofActivity,,,,,,,
,,,mads:note,Conference History (RDA 11.11),FALSE,TRUE,bnode,,lc:RT:Agent:Note,,,,,,,
,,,mads:hasIdentifier,Identifier for the Conference (RDA 11.12) CORE ELEMENT,FALSE,TRUE,bnode,,lc:RT:Agent:Identifier,,,,,,,
,,,mads:authoritativeLabel,Authorized Access Point for the Conference (RDA 11.13.1),FALSE,TRUE,literal,,,,,,,,,
,,,mads:hasVariant,Variant Access Point Representing a Conference (RDA 11.13.2),FALSE,TRUE,bnode,,lc:RT:Agents:VariantAgents,,,,,,,
,,,mads:hasRelatedAuthority,Related Agents (RDA Chapter 30),FALSE,TRUE,bnode,,lc:RT:Agents:RelatedAgents,,,,,,,
,,,mads:hasSource,Source Consulted (RDA 8.12),FALSE,TRUE,bnode,,lc:RT:Agents:Source,,,,,,,
lc:RT:Agent:CorporateBody,Create corporate body name,bf:Organization,owl:sameAs,Search LCNAF,FALSE,TRUE,,,,http://id.loc.gov/authorities/names,IRIstem,,,,,
,,,rdfs:label,Preferred Name for Corporate Body (RDA 11.2.2) CORE ELEMENT,FALSE,TRUE,literal,,,,,,,,,
