shapeID,shapeLabel,resourceURI,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note,lcDefaultLiteral,lcDefaultURI,lcDataTypeURI,lcRemark
,,,bf:descriptionConventions,Description conventions,true,true,,,,http://preprod.id.loc.gov/vocabulary/descriptionConventions,IRIstem,,rda,http://id.loc.gov/vocabulary/descriptionConventions/rda,bf:DescriptionConventions,
,,,bf:descriptionLanguage,Description language,true,false,,,,http://preprod.id.loc.gov/vocabulary/languages,IRIstem,,English,http://id.loc.gov/vocabulary/languages/eng,bf:Language,
,,,bflc:profile,Profile,false,false,literal,,,,,,,,,
,,,bf:identifiedBy,Identifier,false,true,bnode,,lc:RT:bf2:AdminMetadata:Identifier,,,,,,,
,,,bf:generationProcess,Generation Process,false,false,bnode,,lc:RT:bf2:AdminMetadata:GenerationProcess,,,,,,,
,,,bflc:procInfo,Process Information,false,false,literal,,,,,,,,,
lc:RT:bf2:AdminMetadata:GenerationProcess,Generation process,bf:GenerationProcess,rdfs:label,Generation process,false,true,literal,,,,,,,,,
lc:RT:bf2:AdminMetadata:Identifier,Local identifier,bf:Local,rdf:value,Local identifier,false,true,literal,,,,,,,,,
lc:RT:bf2:Agent:Conference,Create conference name,bf:Meeting,rdfs:label,Preferred Name for Conference (RDA 11.2.2) CORE ELEMENT,false,true,literal,,,,,,,,,
,,,mads:associatedLocale,Place Associated with Conference (RDA 11.3) CORE ELEMENT,false,true,bnode,,lc:RT:bf2:Agents:RWO:LocationOfConference | lc:RT:bf2:Agents:RWO:OtherPlace,,,,,,,
,,,mads:establishDate,Date Associated with Conference (RDA 11.4) CORE ELEMENT,false,true,bnode,,lc:RT:bf2:Agents:RWO:Dates,,,,,,,
,,,mads:organization,Associated Institution (RDA 11.5) CORE IF ...,false,true,bnode,,lc:RT:bf2:Agents:RWO:Affiliation,,,,,,,
,,,rdf:value,"Number of a Conference, Etc. (RDA 11.6) CORE ELEMENT",false,true,literal,,,,,,,,,
